Date ,Day of Challenge ,Activities ,Links 
2019-07-05,1,"
Finished the project intro: Example Scenario Deep Learning
 in a Hospital in Lesson 6: Differential privacy for Deep Learning",
,,,
2019-07-08,2,"I had to reduce my activity for about 2 weeks
 and went totally off on Saturday and Sunday to recover
from a sprained ankle 
",
,,"Reached the 4th video ""PATE analysis"" of lesson 6: Differential privacy for deep learning",
,,,
2019-07-09,3,"Contributed and answered some questions in the slack channels
 #l2_intro_diff_privacy  #l3_eval_privacy_func  #l4_loc_glob_diff_priv",
,,"Finally reached the final project in lesson 6: Differential privacy
 for deep learning and intend to attempt it tomorrow",
,,,
,,,
2019-07-10,4,"Contributed and answered some questions in the slack channels
 #l2_intro_diff_privacy  #l3_eval_privacy_func  #l4_loc_glob_diff_priv 
#l5_diff_privacy_dl ",
,,"Started and worked on the final project in
lesson 6: Differential privacy for deep learning,
I'm also grateful to @Ronit for answering my question which 
has made me made progress in it, I intend on completing it the next day.",https://colab.research.google.com/drive/1-eyM_Nfi6zaauFOwHr44ko5qy-_gXiYq
,,,
,,,
2019-07-11,5,Participated in the ama section,
,,"Continued working on the final project in lesson 6: 
Differential privacy for deep learning, 
I implemented the models for the hospital databases 
and also trained the models on the hospital datasets. ",https://colab.research.google.com/drive/1-eyM_Nfi6zaauFOwHr44ko5qy-_gXiYq
,,"I intend to use the models to label the public database and 
complete the project tommorrow",
,,,
2019-07-12,6,Got stuck on the project I was working on so I rewatched the pytorch section,
,,"Watched a couple of Videos by Andrew Ng on Hyperparameters
 to gain more insight into the concept.",https://www.youtube.com/watch?v=1waHlpKiNyY&list=PLkDaE6sCZn6Hn0vK8co82zjQtt3T2Nkqc
,,,
2019-07-13,7,"Finished my implementation of the final project in lesson 5: 
differential privacy in deep-learning ",
,,"Had a virtual meetup with my group mates #sg_study_jahm 
@Anju Mercian @Jess  @Ayesha Manzur @Daniel Adinugroho
@Deasy Indrawati @Helena Barmer @Stark @Sourav @Suraj Kumar 
@Oudarjya Sen Sarma @Temitope Oladokun. 
It was amazing and really productive.",https://colab.research.google.com/drive/1-eyM_Nfi6zaauFOwHr44ko5qy-_gXiYq#scrollTo=Kl69hfZp_PCO
,,,
2019-07-14,8,"Uploaded my implementation of lesson 6: Differential privacy in deep learning
 project to my GitHub account. ",https://github.com/nerytompz/Differential-privacy-for-deeplearning-project
,,"Posted certain articles regarding the current topic: 
Ethical AI being studied in my study group #sg_study_jahm.",
,," Finally finished Lesson 6: Differential privacy in deep learning and
 would start the next lesson ",
,,,
,,,
